name,tipo,price,estimated_owners,peak_ccu,positive,negative,pct_pos_total,metacritic_score,watch_time_hours,peak_viewers,streamers,peak_channels,name_lower
Terraria,Multiplayer,9.99,20000000 - 50000000,30516,1344773,34460,97,83,7324988.0,19413.0,92721.0,196.0,terraria
Rust,MMO,39.99,20000000 - 50000000,200902,1043708,152272,87,69,152999222.0,275076.0,159159.0,1309.0,rust
Garry's Mod,Multiplayer,5.99,20000000 - 50000000,32384,1106689,36727,96,0,16904706.0,36021.0,25803.0,145.0,garry's mod
Stardew Valley,Multiplayer,14.99,20000000 - 50000000,67309,841413,13440,98,89,12051208.0,37314.0,120961.0,309.0,stardew valley
Euro Truck Simulator 2,Multiplayer,19.99,10000000 - 20000000,43539,825685,22349,97,79,11389619.0,55254.0,86895.0,414.0,euro truck simulator 2
Phasmophobia,Multiplayer,19.99,10000000 - 20000000,20766,723620,31340,96,0,35584091.0,90867.0,429825.0,2127.0,phasmophobia
ARK: Survival Evolved,MMO,14.99,20000000 - 50000000,31240,603824,117279,84,70,4118622.0,43580.0,58606.0,179.0,ark: survival evolved
The Forest,Multiplayer,19.99,20000000 - 50000000,8504,588185,27459,95,83,1637929.0,9379.0,83301.0,234.0,the forest
Fall Guys,MMO,0.0,20000000 - 50000000,954,385931,88788,81,80,11400718.0,100715.0,154790.0,235.0,fall guys
Valheim,Multiplayer,19.99,20000000 - 50000000,33903,462942,27454,94,0,10789624.0,126561.0,44788.0,257.0,valheim
Lethal Company,Multiplayer,9.99,10000000 - 20000000,17278,466206,13075,97,0,7878240.0,55104.0,114922.0,521.0,lethal company
Brawlhalla,Multiplayer,0.0,20000000 - 50000000,15163,312342,69911,81,0,4602791.0,36364.0,90921.0,128.0,brawlhalla
Geometry Dash,Single Player,4.99,5000000 - 10000000,17019,375145,26270,93,0,7358878.0,55169.0,112111.0,240.0,geometry dash
Hollow Knight,Single Player,14.99,10000000 - 20000000,7228,388369,11795,97,87,14749327.0,66858.0,165306.0,1694.0,hollow knight
Don't Starve Together,Multiplayer,14.99,20000000 - 50000000,35283,467745,22312,95,83,4081898.0,12068.0,25436.0,71.0,don't starve together
Palworld,Multiplayer,22.49,50000000 - 100000000,33835,350225,21784,94,0,8314165.0,20493.0,88759.0,556.0,palworld
Raft,MMO,19.99,10000000 - 20000000,10017,316714,22510,93,0,3636240.0,21597.0,56651.0,126.0,raft
Subnautica,Multiplayer,29.99,2000000 - 5000000,5090,297572,9157,97,87,6513612.0,47453.0,62497.0,156.0,subnautica
Project Zomboid,Multiplayer,19.99,10000000 - 20000000,24694,339627,20995,94,0,28693976.0,51612.0,63936.0,313.0,project zomboid
Hades,Single Player,24.99,5000000 - 10000000,4062,271755,4795,98,93,1647504.0,28456.0,28387.0,113.0,hades
7 Days to Die,Multiplayer,29.24,10000000 - 20000000,25426,322283,41459,88,0,20012261.0,171697.0,69178.0,489.0,7 days to die
Vampire Survivors,Multiplayer,4.99,5000000 - 10000000,3230,243277,3737,98,86,1210685.0,29716.0,18801.0,62.0,vampire survivors
Path of Exile,MMO,0.0,20000000 - 50000000,32104,208341,25016,89,86,64679811.0,334854.0,31841.0,2664.0,path of exile
Undertale,Single Player,9.99,5000000 - 10000000,1554,246907,8407,96,92,3831039.0,97095.0,51780.0,138.0,undertale
Sons Of The Forest,Multiplayer,29.99,10000000 - 20000000,6723,212182,30041,87,0,4219425.0,71468.0,62211.0,262.0,sons of the forest
Risk of Rain 2,Multiplayer,24.99,5000000 - 10000000,6183,286416,20064,93,85,2373921.0,28528.0,51002.0,312.0,risk of rain 2
Mount & Blade II: Bannerlord,Multiplayer,49.99,10000000 - 20000000,18915,228586,31683,87,77,5337460.0,28402.0,17351.0,192.0,mount & blade ii: bannerlord
Satisfactory,Multiplayer,39.99,5000000 - 10000000,15097,217300,6461,97,91,5898113.0,11150.0,35549.0,170.0,satisfactory
Ready or Not,Multiplayer,49.99,2000000 - 5000000,6837,199469,24824,89,0,3409243.0,111176.0,125845.0,1025.0,ready or not
RimWorld,Single Player,34.99,5000000 - 10000000,27679,201079,4151,97,87,17625401.0,59696.0,17428.0,352.0,rimworld
Factorio,Multiplayer,35.0,5000000 - 10000000,16739,204396,6366,97,90,6392572.0,24041.0,12384.0,106.0,factorio
Cuphead,Multiplayer,19.99,5000000 - 10000000,1870,172842,6604,96,88,3242228.0,54621.0,58736.0,71.0,cuphead
Slay the Spire,Single Player,8.49,5000000 - 10000000,18859,172382,3835,97,89,8715023.0,27691.0,19052.0,60.0,slay the spire
Squad,MMO,49.99,2000000 - 5000000,17053,169225,34721,84,0,1018264.0,23565.0,15307.0,67.0,squad
American Truck Simulator,Multiplayer,19.99,2000000 - 5000000,10501,165324,5425,97,76,3540197.0,29709.0,32006.0,148.0,american truck simulator
Stray,Single Player,29.99,5000000 - 10000000,498,148731,4179,97,82,1036212.0,27285.0,39506.0,132.0,stray
Stumble Guys,MMO,0.0,2000000 - 5000000,5755,106632,18724,85,0,1274732.0,12708.0,38797.0,56.0,stumble guys
Oxygen Not Included,Multiplayer,24.99,2000000 - 5000000,8460,121944,4094,96,85,1417202.0,5857.0,5903.0,39.0,oxygen not included
Assetto Corsa,Multiplayer,19.99,5000000 - 10000000,12075,135644,10838,92,85,1865953.0,51944.0,41453.0,103.0,assetto corsa
Balatro,Single Player,14.99,2000000 - 5000000,24326,131361,2538,98,90,9080357.0,58736.0,86104.0,209.0,balatro
Celeste,Single Player,19.99,2000000 - 5000000,1531,113097,2948,97,88,2877988.0,70673.0,22906.0,66.0,celeste
Kerbal Space Program,Single Player,39.99,2000000 - 5000000,2231,119550,6081,95,88,1124235.0,34710.0,3911.0,20.0,kerbal space program
Space Engineers,Multiplayer,19.99,2000000 - 5000000,5666,116320,15085,89,0,1024267.0,4426.0,6469.0,45.0,space engineers
The Long Dark,Multiplayer,9.99,2000000 - 5000000,2878,99417,10133,91,0,2048739.0,32587.0,12763.0,65.0,the long dark
Poppy Playtime,Single Player,0.0,2000000 - 5000000,4100,79966,14469,84,0,6373361.0,237412.0,54693.0,1355.0,poppy playtime
Outlast,Multiplayer,19.99,2000000 - 5000000,409,119498,4394,96,80,2716665.0,29616.0,58674.0,238.0,outlast
Last Epoch,MMO,34.99,20000000 - 50000000,1851,77879,23010,77,80,12936608.0,188950.0,12709.0,1595.0,last epoch
MiSide,Single Player,14.99,100000 - 200000,1999,101008,1836,98,0,5359033.0,55999.0,42837.0,303.0,miside
Brotato,Multiplayer,2.99,2000000 - 5000000,6592,90914,3068,96,0,2965163.0,23067.0,15986.0,42.0,brotato
Hell Let Loose,MMO,29.99,2000000 - 5000000,8008,111514,23891,84,79,2032239.0,12649.0,46993.0,281.0,hell let loose
"Warhammer 40,000: Darktide",Multiplayer,39.99,2000000 - 5000000,4921,77348,32390,70,0,3111154.0,18488.0,24385.0,367.0,"warhammer 40,000: darktide"
Subnautica: Below Zero,Multiplayer,29.99,2000000 - 5000000,1020,86347,8850,90,0,849795.0,4148.0,10335.0,37.0,subnautica: below zero
SCUM,MMO,39.99,2000000 - 5000000,15965,82286,28062,75,0,8624370.0,64566.0,13283.0,457.0,scum
Cult of the Lamb,Multiplayer,24.99,2000000 - 5000000,2467,94610,4376,95,82,3525984.0,12697.0,44150.0,104.0,cult of the lamb
The Isle,MMO,19.99,2000000 - 5000000,10065,73561,16917,81,0,10381232.0,47294.0,12787.0,127.0,the isle
My Summer Car,Multiplayer,14.99,2000000 - 5000000,2859,82393,4732,94,0,1950405.0,54515.0,8637.0,35.0,my summer car
Escape the Backrooms,Multiplayer,9.99,2000000 - 5000000,3296,88597,8766,91,0,1939401.0,23435.0,37704.0,264.0,escape the backrooms
Kenshi,Single Player,29.99,2000000 - 5000000,4205,89978,4265,95,75,1336940.0,4473.0,5372.0,32.0,kenshi
Buckshot Roulette,Multiplayer,2.99,2000000 - 5000000,1050,85250,3406,96,0,1381387.0,72822.0,34529.0,56.0,buckshot roulette
Goose Goose Duck,Multiplayer,0.0,0 - 0,0,0,0,86,0,2164131.0,14384.0,24411.0,84.0,goose goose duck
Noita,Single Player,19.99,2000000 - 5000000,3511,72473,3647,95,0,4412355.0,65160.0,10454.0,44.0,noita
Beat Saber,Multiplayer,29.99,2000000 - 5000000,683,70987,3262,95,93,1811032.0,57705.0,16642.0,154.0,beat saber
ARK: Survival Ascended,MMO,44.99,1000000 - 2000000,28394,42267,29390,59,0,16331215.0,236646.0,52737.0,392.0,ark: survival ascended
Eternal Return,MMO,0.0,5000000 - 10000000,16357,50797,12927,79,0,7974218.0,20414.0,5231.0,111.0,eternal return
DEVOUR,Multiplayer,9.99,2000000 - 5000000,646,74255,7310,91,0,1439768.0,43676.0,29689.0,244.0,devour
Supermarket Simulator,Multiplayer,12.99,2000000 - 5000000,6928,60523,3896,93,0,2703200.0,61300.0,44346.0,247.0,supermarket simulator
Supermarket Together,Multiplayer,0.0,0 - 0,0,0,0,95,0,1335221.0,14831.0,58033.0,119.0,supermarket together
Green Hell,Multiplayer,24.99,2000000 - 5000000,3401,67533,10879,86,78,813356.0,18187.0,21887.0,90.0,green hell
FTL: Faster Than Light,Single Player,9.99,2000000 - 5000000,2249,70613,3360,95,84,1064075.0,12047.0,2893.0,17.0,ftl: faster than light
Hades II,Single Player,29.99,2000000 - 5000000,7793,58314,3170,94,0,6413964.0,76496.0,25274.0,1142.0,hades ii
A Way Out,Multiplayer,29.99,2000000 - 5000000,807,68454,9669,86,78,1707586.0,39776.0,41762.0,84.0,a way out
Content Warning,Multiplayer,7.99,5000000 - 10000000,2601,132136,6977,94,0,847296.0,29719.0,44897.0,86.0,content warning
The Outlast Trials,Multiplayer,39.99,2000000 - 5000000,1930,58997,4100,93,0,5095028.0,34304.0,130980.0,628.0,the outlast trials
Overcooked! 2,Multiplayer,9.69,2000000 - 5000000,9961,63868,6594,90,81,930976.0,28372.0,36355.0,53.0,overcooked! 2
Party Animals,Multiplayer,19.99,2000000 - 5000000,4830,48137,13622,79,0,3964069.0,29234.0,37722.0,149.0,party animals
PowerWash Simulator,Multiplayer,24.99,1000000 - 2000000,3143,49246,1584,97,0,2039718.0,15952.0,42315.0,77.0,powerwash simulator
Golf With Your Friends,MMO,14.99,2000000 - 5000000,984,58366,7823,89,0,3538646.0,43230.0,39644.0,106.0,golf with your friends
Chained Together,Multiplayer,4.99,2000000 - 5000000,1623,45995,4635,91,0,4026795.0,69298.0,50225.0,71.0,chained together
Pummel Party,Multiplayer,14.99,2000000 - 5000000,2124,47123,5931,89,0,3103366.0,60654.0,24311.0,84.0,pummel party
Tabletop Simulator,Multiplayer,19.99,2000000 - 5000000,5583,65603,3893,96,0,749469.0,16571.0,8795.0,33.0,tabletop simulator
Stranded Deep,Multiplayer,19.99,1000000 - 2000000,350,33931,11580,75,0,897570.0,61579.0,12958.0,27.0,stranded deep
Liar's Bar,Multiplayer,6.99,2000000 - 5000000,2328,42178,3602,91,0,2810042.0,67591.0,37752.0,107.0,liar's bar
The Long Drive,Multiplayer,15.99,1000000 - 2000000,951,40379,4214,91,0,2159863.0,46346.0,7930.0,24.0,the long drive
Core Keeper,Multiplayer,19.99,1000000 - 2000000,5368,48475,3722,92,85,2352999.0,23485.0,15087.0,69.0,core keeper
SOMA,Single Player,29.99,2000000 - 5000000,145,42493,1794,95,84,969093.0,10485.0,7911.0,51.0,soma
Foxhole,MMO,29.99,1000000 - 2000000,2678,35248,6955,83,0,2558551.0,12346.0,2675.0,43.0,foxhole
Shakes and Fidget,MMO,0.0,1000000 - 2000000,2002,33757,2728,92,0,7579735.0,9320.0,892.0,23.0,shakes and fidget
Medieval Dynasty,Multiplayer,34.99,1000000 - 2000000,3820,40078,4041,90,73,1416650.0,5966.0,16178.0,77.0,medieval dynasty
Hero Siege,Multiplayer,7.99,2000000 - 5000000,529,29085,12965,69,0,1522909.0,6714.0,2133.0,85.0,hero siege
Deadside,MMO,24.99,500000 - 1000000,1648,28383,8391,77,0,804923.0,22543.0,16127.0,175.0,deadside
Wreckfest,Multiplayer,29.99,1000000 - 2000000,364,33520,4544,87,81,736173.0,17987.0,15097.0,40.0,wreckfest
Stoneshard,Single Player,17.49,1000000 - 2000000,1661,21424,7624,73,0,1540887.0,8613.0,1545.0,29.0,stoneshard
Timberborn,Single Player,34.99,1000000 - 2000000,3789,28219,1362,95,0,754184.0,13705.0,3393.0,32.0,timberborn
City Car Driving,Multiplayer,12.49,1000000 - 2000000,885,23683,5144,82,0,793473.0,79654.0,2278.0,13.0,city car driving
Dwarf Fortress,Single Player,29.99,2000000 - 5000000,1510,26459,1395,95,93,892966.0,3684.0,1875.0,19.0,dwarf fortress
Palia,Multiplayer,0.0,0 - 0,0,0,0,84,0,13797566.0,20418.0,42101.0,534.0,palia
Mouthwashing,Single Player,12.99,200000 - 500000,249,26244,966,96,0,1422870.0,52472.0,11756.0,58.0,mouthwashing
Nine Sols,Single Player,29.99,500000 - 1000000,745,23607,1109,95,0,1487572.0,7715.0,14293.0,65.0,nine sols
Battle Brothers,Single Player,29.99,500000 - 1000000,1192,20857,2755,88,80,1623013.0,5458.0,1196.0,22.0,battle brothers
"Warhammer 40,000: Rogue Trader",Multiplayer,49.99,2000000 - 5000000,4447,24177,4269,84,0,841191.0,4287.0,5014.0,51.0,"warhammer 40,000: rogue trader"
Dinkum,Multiplayer,19.99,500000 - 1000000,1907,20499,1392,93,0,1419615.0,7859.0,7269.0,65.0,dinkum
Darkwood,Single Player,14.99,1000000 - 2000000,115,19953,1069,95,80,756169.0,10921.0,4725.0,26.0,darkwood
Foundation,Single Player,34.99,500000 - 1000000,4947,16071,2686,85,0,857683.0,14476.0,3399.0,79.0,foundation
Tiny Bunny,Single Player,10.39,500000 - 1000000,124,18555,666,96,0,1285656.0,94033.0,5746.0,575.0,tiny bunny
The Texas Chain Saw Massacre,Multiplayer,19.99,200000 - 500000,359,14172,6392,71,0,2689907.0,17321.0,38622.0,174.0,the texas chain saw massacre
Coral Island,Single Player,29.99,500000 - 1000000,2361,18357,2494,88,0,770092.0,3538.0,9229.0,78.0,coral island
Demonologist,Multiplayer,14.99,1000000 - 2000000,626,18190,2906,86,0,1972992.0,59461.0,28238.0,208.0,demonologist
Fields of Mistria,Single Player,13.99,500000 - 1000000,2713,16967,362,97,0,1006108.0,3413.0,9546.0,151.0,fields of mistria
Sky: Children of the Light,MMO,0.0,0 - 0,0,0,0,87,0,879869.0,2649.0,12472.0,76.0,sky: children of the light
Backrooms: Escape Together,Multiplayer,7.99,200000 - 500000,2929,15423,2329,87,0,1730084.0,62913.0,37387.0,89.0,backrooms: escape together
PlateUp!,Multiplayer,19.99,1000000 - 2000000,2804,21378,1135,94,0,2289702.0,56336.0,25275.0,105.0,plateup!
Pacific Drive,Single Player,20.99,500000 - 1000000,705,15470,2967,83,0,787250.0,6985.0,15456.0,106.0,pacific drive
60 Seconds! Reatomized,Single Player,9.99,1000000 - 2000000,167,15211,937,94,0,3109406.0,75417.0,8807.0,18.0,60 seconds! reatomized
Escape Simulator,Multiplayer,11.99,1000000 - 2000000,846,15835,987,94,82,737113.0,57784.0,8506.0,28.0,escape simulator
Mechabellum,Multiplayer,14.99,500000 - 1000000,2439,11487,1884,85,0,4648792.0,16051.0,2565.0,38.0,mechabellum
LOCKDOWN Protocol,Multiplayer,9.99,1000000 - 2000000,774,11841,1545,88,0,3116905.0,40616.0,28474.0,173.0,lockdown protocol
Jump King,Single Player,12.99,500000 - 1000000,145,10770,1179,90,0,1275844.0,26311.0,7042.0,57.0,jump king
Eco,Multiplayer,23.99,500000 - 1000000,971,10600,2437,81,0,1662921.0,7030.0,1542.0,47.0,eco
House Flipper 2,Multiplayer,39.99,200000 - 500000,1863,9890,1772,84,79,1887962.0,92524.0,16075.0,108.0,house flipper 2
WAKFU,MMO,0.0,1000000 - 2000000,362,7668,2489,75,76,1950863.0,12801.0,2310.0,220.0,wakfu
Mortal Online 2,MMO,39.99,500000 - 1000000,565,7759,4993,60,0,846571.0,2197.0,538.0,21.0,mortal online 2
A Game About Digging A Hole,Single Player,4.99,0 - 20000,1656,8658,903,90,0,2463235.0,67551.0,20688.0,96.0,a game about digging a hole
Fear & Hunger 2: Termina,Single Player,11.99,0 - 20000,234,0,0,97,0,2192610.0,14250.0,3601.0,17.0,fear & hunger 2: termina
Nuclear Nightmare,Multiplayer,6.99,200000 - 500000,140,8925,1652,84,0,1036788.0,45603.0,14541.0,78.0,nuclear nightmare
Visage,Multiplayer,34.99,500000 - 1000000,29,8174,1410,86,81,1116688.0,76559.0,13605.0,125.0,visage
The Mortuary Assistant,Multiplayer,24.99,200000 - 500000,135,6643,561,92,0,2012318.0,77478.0,32088.0,244.0,the mortuary assistant
UFO 50,Multiplayer,24.99,50000 - 100000,444,5629,246,95,91,1098657.0,67313.0,2132.0,24.0,ufo 50
Zort,Multiplayer,4.0,50000 - 100000,531,5581,368,94,0,1597504.0,46880.0,16799.0,61.0,zort
Pogostuck: Rage With Your Friends,Multiplayer,6.99,200000 - 500000,77,5052,990,85,0,1154690.0,15251.0,1937.0,19.0,pogostuck: rage with your friends
Granny,Multiplayer,4.99,200000 - 500000,126,4669,356,93,0,1194726.0,60299.0,13701.0,16.0,granny
Rivals of Aether II,Multiplayer,29.99,200000 - 500000,890,5556,1104,81,0,1368859.0,27965.0,3848.0,56.0,rivals of aether ii
Fast Food Simulator,Multiplayer,14.99,20000 - 50000,1073,4118,226,94,0,3771023.0,72074.0,28179.0,105.0,fast food simulator
Pantheon: Rise of the Fallen,MMO,39.99,0 - 20000,4194,3079,784,79,0,787115.0,3481.0,1379.0,61.0,pantheon: rise of the fallen
Streamer Life Simulator 2,Single Player,9.99,0 - 20000,919,3049,573,83,0,5000905.0,115092.0,12477.0,141.0,streamer life simulator 2
The Headliners,Multiplayer,6.39,0 - 20000,3271,3643,574,85,0,5569967.0,60906.0,37748.0,231.0,the headliners
Heroes of Hammerwatch II,Multiplayer,17.99,0 - 20000,786,3349,529,85,0,1099394.0,18025.0,3707.0,78.0,heroes of hammerwatch ii
Hello Kitty Island Adventure,Multiplayer,39.99,0 - 20000,3048,3747,235,93,0,2074105.0,120841.0,18072.0,404.0,hello kitty island adventure
Tainted Grail: The Fall of Avalon,Single Player,29.99,100000 - 200000,48,2907,527,84,0,3495828.0,59036.0,9472.0,257.0,tainted grail: the fall of avalon
The Cabin Factory,Multiplayer,2.99,0 - 20000,26,2116,200,91,0,862966.0,30892.0,17232.0,39.0,the cabin factory
Two Point Museum,Single Player,29.99,0 - 20000,13586,1850,68,95,84,2960849.0,32568.0,5684.0,181.0,two point museum
Storage Hunter Simulator,Single Player,17.49,100000 - 200000,843,1647,355,82,0,2069935.0,18010.0,4988.0,50.0,storage hunter simulator
Lost Records: Bloom & Rage,Single Player,39.99,0 - 20000,347,1706,119,93,0,1333443.0,22896.0,14334.0,300.0,lost records: bloom & rage
Aloft,Multiplayer,24.99,0 - 20000,561,1526,267,84,0,1693560.0,31643.0,6852.0,230.0,aloft
SchoolBoy Runaway,Multiplayer,5.99,0 - 20000,225,1396,129,91,0,3605521.0,77278.0,9408.0,56.0,schoolboy runaway
Zeepkist,Multiplayer,19.99,50000 - 100000,37,1471,45,97,0,780104.0,34993.0,279.0,14.0,zeepkist
Scrutinized,Single Player,9.99,100000 - 200000,7,1028,124,89,0,1948030.0,79792.0,1550.0,14.0,scrutinized
Carry The Glass,Multiplayer,4.99,20000 - 50000,327,966,247,79,0,3812721.0,137527.0,17527.0,64.0,carry the glass
Dollmare,Single Player,4.99,20000 - 50000,26,1033,43,95,0,720907.0,12968.0,8173.0,24.0,dollmare
Kiosk,Single Player,3.99,0 - 20000,33,803,126,86,0,1456738.0,115839.0,7168.0,33.0,kiosk
Kukoro: Stream chat games,MMO,4.99,0 - 20000,34,949,18,98,0,1544730.0,7156.0,5508.0,20.0,kukoro: stream chat games
Coin Pusher Casino,Single Player,12.45,0 - 20000,104,556,91,85,0,885533.0,60016.0,1033.0,33.0,coin pusher casino
Laundry Store Simulator,Single Player,9.99,0 - 20000,128,509,99,83,0,1579783.0,62217.0,2692.0,18.0,laundry store simulator
Lonely Mountains: Snow Riders,Multiplayer,24.99,0 - 20000,75,352,34,90,87,1217374.0,59530.0,3855.0,29.0,lonely mountains: snow riders
Q REMASTERED,Multiplayer,8.99,50000 - 100000,14,326,60,84,0,919172.0,28155.0,298.0,4.0,q remastered
JUMP KING QUEST,Multiplayer,24.99,0 - 20000,54,284,66,81,0,1260802.0,37418.0,908.0,31.0,jump king quest
Lycans,Multiplayer,4.99,20000 - 50000,23,268,19,93,0,1228503.0,34424.0,1108.0,23.0,lycans
Make Good Choices,Single Player,2.99,0 - 20000,9,216,25,89,0,922824.0,70141.0,4604.0,15.0,make good choices
ORDER 13,Single Player,8.09,0 - 20000,0,0,0,87,0,2088306.0,70488.0,11002.0,78.0,order 13
Pic-Me!,Multiplayer,6.99,0 - 20000,92,123,17,88,0,764885.0,58639.0,950.0,14.0,pic-me!
TrickShot Simulator,Single Player,5.99,0 - 20000,28,89,18,83,0,2077666.0,60133.0,1881.0,15.0,trickshot simulator
Driving Is Hard,Single Player,6.99,0 - 20000,42,114,15,85,0,804303.0,42584.0,1370.0,18.0,driving is hard
Perfect World,Single Player,0.0,0 - 0,0,0,0,87,0,5715116.0,12581.0,2491.0,107.0,perfect world
Artifact,Single Player,7.99,0 - 20000,2,0,0,76,0,2056306.0,20931.0,1583.0,52.0,artifact
Eternal Return,Single Player,4.99,0 - 20000,0,20,15,53,0,7974218.0,20414.0,5231.0,111.0,eternal return
DEADLOCK,Single Player,5.99,0 - 20000,0,18,7,66,0,24693936.0,45385.0,39184.0,415.0,deadlock
Fellowship,Single Player,6.99,0 - 20000,0,10,8,60,0,5038622.0,45885.0,9374.0,430.0,fellowship
Peak,Single Player,1.19,0 - 20000,0,0,0,-1,0,50014292.0,174597.0,349062.0,2583.0,peak
The Game Awards,Single Player,3.99,0 - 20000,0,6,3,-1,0,7426720.0,1806913.0,16789.0,13461.0,the game awards
Fast Food Simulator,Single Player,1.99,0 - 20000,0,3,3,-1,0,3771023.0,72074.0,28179.0,105.0,fast food simulator
